country_region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
United Arab Emirates,2020-02-15,0,4,5,0,2,1
United Arab Emirates,2020-02-16,1,4,4,1,2,1
United Arab Emirates,2020-02-17,-1,1,5,1,2,1
United Arab Emirates,2020-02-18,-2,1,5,0,2,1
United Arab Emirates,2020-02-19,-2,0,4,-1,2,1
United Arab Emirates,2020-02-20,-2,1,6,1,1,1
United Arab Emirates,2020-02-21,-3,2,6,0,-1,1
United Arab Emirates,2020-02-22,-2,2,4,-2,3,1
United Arab Emirates,2020-02-23,-1,3,3,-1,4,1
United Arab Emirates,2020-02-24,-3,0,5,-1,3,1
United Arab Emirates,2020-02-25,-3,2,3,-2,3,1
United Arab Emirates,2020-02-26,-2,1,-3,-2,3,1
United Arab Emirates,2020-02-27,1,5,-1,-1,3,1
United Arab Emirates,2020-02-28,1,5,-1,-1,1,1
United Arab Emirates,2020-02-29,2,7,-1,-1,5,0
United Arab Emirates,2020-03-01,3,10,2,-1,4,1
United Arab Emirates,2020-03-02,0,7,1,-2,4,1
United Arab Emirates,2020-03-03,0,6,0,-5,4,1
United Arab Emirates,2020-03-04,-1,7,-2,-5,3,2
United Arab Emirates,2020-03-05,-3,6,-2,-5,3,2
United Arab Emirates,2020-03-06,-7,5,-8,-9,0,3
United Arab Emirates,2020-03-07,-3,6,1,-8,4,2
United Arab Emirates,2020-03-08,1,8,6,-9,-1,3
United Arab Emirates,2020-03-09,-3,4,4,-10,-1,4
United Arab Emirates,2020-03-10,-4,6,3,-11,-2,4
United Arab Emirates,2020-03-11,-4,5,0,-12,-2,4
United Arab Emirates,2020-03-12,-8,6,-6,-15,-3,5
United Arab Emirates,2020-03-13,-16,3,-15,-20,-2,5
United Arab Emirates,2020-03-14,-12,4,-12,-17,2,4
United Arab Emirates,2020-03-15,-6,11,-11,-15,-4,5
United Arab Emirates,2020-03-16,-11,8,-14,-17,-6,6
United Arab Emirates,2020-03-17,-16,5,-18,-22,-9,7
United Arab Emirates,2020-03-18,-19,2,-19,-25,-11,9
United Arab Emirates,2020-03-19,-24,-1,-26,-31,-12,11
United Arab Emirates,2020-03-20,-37,-11,-45,-44,-12,11
United Arab Emirates,2020-03-21,-32,-12,-37,-42,-8,10
United Arab Emirates,2020-03-22,-30,-13,-36,-45,-17,13
United Arab Emirates,2020-03-23,-27,14,-38,-46,-20,14
United Arab Emirates,2020-03-24,-39,-6,-43,-53,-28,17
United Arab Emirates,2020-03-25,-50,-18,-47,-60,-35,21
United Arab Emirates,2020-03-26,-55,-13,-54,-67,-40,25
United Arab Emirates,2020-03-27,-80,-60,-80,-84,-52,25
United Arab Emirates,2020-03-28,-72,-47,-68,-80,-56,28
United Arab Emirates,2020-03-29,-55,-26,-53,-69,-45,26
United Arab Emirates,2020-03-30,-57,-27,-53,-69,-46,25
United Arab Emirates,2020-03-31,-56,-26,-53,-69,-46,25
United Arab Emirates,2020-04-01,-56,-24,-53,-70,-46,25
United Arab Emirates,2020-04-02,-58,-25,-56,-71,-47,28
United Arab Emirates,2020-04-03,-69,-39,-75,-79,-44,22
United Arab Emirates,2020-04-04,-58,-27,-58,-72,-37,21
United Arab Emirates,2020-04-05,-61,-30,-58,-79,-57,31
United Arab Emirates,2020-04-06,-63,-32,-58,-78,-56,30
United Arab Emirates,2020-04-07,-63,-30,-73,-78,-55,30
United Arab Emirates,2020-04-08,-63,-30,-74,-78,-55,30
United Arab Emirates,2020-04-09,-64,-31,-76,-79,-55,33
United Arab Emirates,2020-04-10,-74,-46,-86,-84,-49,23
United Arab Emirates,2020-04-11,-64,-32,-77,-79,-45,24
United Arab Emirates,2020-04-12,-60,-28,-74,-79,-55,30
United Arab Emirates,2020-04-13,-62,-30,-73,-78,-55,30
United Arab Emirates,2020-04-14,-62,-31,-74,-78,-55,30
United Arab Emirates,2020-04-15,-63,-32,-74,-78,-56,31
United Arab Emirates,2020-04-16,-63,-32,-74,-79,-55,34
United Arab Emirates,2020-04-17,-73,-45,-85,-84,-48,23
United Arab Emirates,2020-04-18,-66,-39,-78,-78,-45,24
United Arab Emirates,2020-04-19,-62,-35,-74,-78,-54,30
United Arab Emirates,2020-04-20,-63,-37,-74,-78,-55,30
United Arab Emirates,2020-04-21,-63,-35,-74,-78,-55,30
United Arab Emirates,2020-04-22,-62,-33,-75,-77,-55,30
United Arab Emirates,2020-04-23,-62,-29,-76,-77,-55,32
United Arab Emirates,2020-04-24,-72,-40,-86,-80,-47,24
United Arab Emirates,2020-04-25,-62,-32,-77,-74,-41,25
United Arab Emirates,2020-04-26,-56,-26,-73,-69,-49,30
United Arab Emirates,2020-04-27,-57,-28,-73,-68,-48,30
United Arab Emirates,2020-04-28,-56,-26,-72,-67,-48,28
United Arab Emirates,2020-04-29,-55,-24,-72,-67,-47,29
United Arab Emirates,2020-04-30,-57,-26,-71,-66,-47,31
United Arab Emirates,2020-05-01,-66,-36,-83,-73,-41,22
United Arab Emirates,2020-05-02,-56,-26,-72,-66,-34,22
United Arab Emirates,2020-05-03,-51,-22,-68,-65,-45,27
United Arab Emirates,2020-05-04,-52,-24,-68,-65,-45,28
United Arab Emirates,2020-05-05,-53,-23,-68,-64,-45,27
United Arab Emirates,2020-05-06,-51,-20,-67,-62,-44,28
United Arab Emirates,2020-05-07,-53,-23,-68,-63,-44,30
United Arab Emirates,2020-05-08,-63,-35,-81,-72,-38,21
United Arab Emirates,2020-05-09,-53,-25,-70,-63,-31,22
United Arab Emirates,2020-05-10,-48,-19,-66,-61,-42,27
United Arab Emirates,2020-05-11,-51,-22,-66,-61,-43,28
United Arab Emirates,2020-05-12,-50,-20,-66,-61,-43,28
United Arab Emirates,2020-05-13,-51,-21,-66,-61,-43,28
United Arab Emirates,2020-05-14,-53,-20,-67,-61,-43,29
United Arab Emirates,2020-05-15,-62,-32,-80,-70,-35,21
United Arab Emirates,2020-05-16,-51,-21,-68,-61,-29,21
United Arab Emirates,2020-05-17,-47,-16,-64,-60,-41,27
United Arab Emirates,2020-05-18,-48,-18,-64,-59,-42,27
United Arab Emirates,2020-05-19,-49,-19,-65,-60,-42,27
United Arab Emirates,2020-05-20,-53,-22,-67,-61,-44,28
United Arab Emirates,2020-05-21,-53,-20,-69,-61,-43,30
United Arab Emirates,2020-05-22,-59,-27,-81,-69,-33,21
United Arab Emirates,2020-05-23,-52,-17,-73,-66,-47,25
United Arab Emirates,2020-05-24,-56,-31,-68,-72,-77,36
United Arab Emirates,2020-05-25,-52,-23,-65,-69,-73,34
United Arab Emirates,2020-05-26,-50,-23,-66,-66,-63,31
United Arab Emirates,2020-05-27,-44,-18,-63,-55,-38,23
United Arab Emirates,2020-05-28,-46,-19,-64,-56,-37,25
United Arab Emirates,2020-05-29,-55,-29,-73,-64,-29,19
United Arab Emirates,2020-05-30,-42,-17,-62,-55,-20,16
United Arab Emirates,2020-05-31,-35,-9,-58,-52,-32,20
United Arab Emirates,2020-06-01,-37,-10,-57,-51,-32,20
United Arab Emirates,2020-06-02,-38,-12,-58,-52,-32,21
United Arab Emirates,2020-06-03,-38,-12,-57,-51,-32,21
United Arab Emirates,2020-06-04,-41,-14,-60,-52,-31,23
United Arab Emirates,2020-06-05,-49,-23,-68,-61,-26,17
United Arab Emirates,2020-06-06,-39,-15,-60,-54,-18,16
United Arab Emirates,2020-06-07,-35,-9,-56,-51,-30,20
United Arab Emirates,2020-06-08,-37,-13,-56,-50,-29,20
United Arab Emirates,2020-06-09,-39,-14,-57,-52,-29,20
United Arab Emirates,2020-06-10,-38,-13,-56,-52,-30,20
United Arab Emirates,2020-06-11,-40,-13,-57,-52,-29,22
United Arab Emirates,2020-06-12,-48,-23,-66,-60,-23,16
United Arab Emirates,2020-06-13,-38,-15,-57,-53,-16,15
United Arab Emirates,2020-06-14,-34,-10,-54,-50,-28,19
United Arab Emirates,2020-06-15,-36,-13,-53,-50,-27,19
United Arab Emirates,2020-06-16,-36,-12,-53,-50,-27,19
United Arab Emirates,2020-06-17,-37,-12,-54,-50,-27,19
United Arab Emirates,2020-06-18,-39,-14,-56,-51,-27,20
United Arab Emirates,2020-06-19,-46,-22,-66,-58,-21,16
United Arab Emirates,2020-06-20,-37,-15,-57,-52,-15,14
United Arab Emirates,2020-06-21,-33,-11,-52,-50,-27,18
United Arab Emirates,2020-06-22,-35,-13,-51,-48,-27,18
United Arab Emirates,2020-06-23,-34,-12,-51,-48,-27,18
United Arab Emirates,2020-06-24,-35,-12,-52,-48,-26,18
United Arab Emirates,2020-06-25,-33,-10,-53,-47,-25,19
United Arab Emirates,2020-06-26,-40,-18,-62,-54,-18,14
United Arab Emirates,2020-06-27,-32,-11,-55,-48,-14,13
United Arab Emirates,2020-06-28,-28,-7,-51,-47,-24,16
United Arab Emirates,2020-06-29,-29,-8,-49,-46,-24,16
United Arab Emirates,2020-06-30,-28,-6,-46,-47,-24,15
United Arab Emirates,2020-07-01,-28,-6,-47,-47,-24,15
United Arab Emirates,2020-07-02,-29,-5,-48,-47,-24,17
United Arab Emirates,2020-07-03,-36,-14,-58,-54,-17,13
United Arab Emirates,2020-07-04,-29,-8,-50,-49,-12,11
United Arab Emirates,2020-07-05,-24,-3,-45,-47,-24,14
